lat,lon,date,website
39.622718,-119.846441,1972-08-??,http://www.bfro.net/GDB/show_report.asp?id=5697
47.016174,-123.500904,1972-08-??,http://www.bfro.net/GDB/show_report.asp?id=1226
48.759985,-122.217170,1972-08-??,http://www.bfro.net/GDB/show_report.asp?id=5771
45.224190,-92.852738,1972-09-??,http://www.bfro.net/GDB/show_report.asp?id=1081
37.577413,-118.977904,1972-09-??,http://www.bfro.net/GDB/show_report.asp?id=8487
48.211884,-121.421994,1972-09-??,http://www.bfro.net/GDB/show_article.asp?id=135
38.477039,-88.908319,1972-09-15,http://www.bfro.net/GDB/show_report.asp?id=3471
36.868894,-86.966948,1972-10-??,http://www.bfro.net/GDB/show_report.asp?id=2390
30.228882,-92.570071,1972-10-14,http://www.bfro.net/GDB/show_report.asp?id=7715
41.228428,-79.381445,1972-10Aut,http://www.bfro.net/GDB/show_report.asp?id=3554
40.413895,-104.813767,1972-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1377
37.029832,-94.542545,1972-10Aut,http://www.bfro.net/GDB/show_report.asp?id=7288
36.248639,-92.280412,1972-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1636
43.796182,-84.206817,1972-11-??,http://www.bfro.net/GDB/show_report.asp?id=2830
35.638661,-81.611192,1972-11-18,http://www.bfro.net/GDB/show_report.asp?id=10608
31.173534,-90.683367,1973-01Win,http://www.bfro.net/GDB/show_report.asp?id=1338
47.361374,-120.299471,1973-02-??,http://www.bfro.net/GDB/show_report.asp?id=2070
34.690018,-117.929146,1973-03-??,http://www.bfro.net/GDB/show_article.asp?id=94
34.679203,-117.925910,1973-03-??,http://www.bfro.net/GDB/show_article.asp?id=95
47.302097,-122.051819,1973-04Spr,http://www.bfro.net/GDB/show_report.asp?id=1383
26.097679,-81.075591,1973-05-??,http://www.bfro.net/GDB/show_report.asp?id=2856
35.714149,-118.387785,1973-05-??,http://www.bfro.net/GDB/show_article.asp?id=103
47.750530,-122.472931,1973-05-??,http://www.bfro.net/GDB/show_report.asp?id=1809
38.823709,-89.933878,1973-06-06,http://www.bfro.net/GDB/show_report.asp?id=3472
34.657402,-117.862990,1973-07-??,http://www.bfro.net/GDB/show_article.asp?id=104
34.601526,-117.828315,1973-07-??,http://www.bfro.net/GDB/show_article.asp?id=104
40.040102,-86.108994,1973-07-10,http://www.bfro.net/GDB/show_report.asp?id=10538
43.968058,-70.044977,1973-07-25,http://www.bfro.net/GDB/show_report.asp?id=1186
43.927460,-70.048080,1973-07-25,http://www.bfro.net/GDB/show_report.asp?id=1186
43.958273,-70.049621,1973-07-26,http://www.bfro.net/GDB/show_report.asp?id=1186
39.010563,-76.545781,1973-07Sum,http://www.bfro.net/GDB/show_report.asp?id=10687
39.730183,-76.324485,1973-07Sum,http://www.bfro.net/GDB/show_report.asp?id=3572
37.577802,-84.286041,1973-07Sum,http://www.bfro.net/GDB/show_report.asp?id=2428
39.411727,-85.836134,1973-07Sum,http://www.bfro.net/GDB/show_report.asp?id=10153
26.521769,-81.853406,1973-08-23,http://www.bfro.net/GDB/show_report.asp?id=1030
44.999828,-115.721908,1973-08-24,http://www.bfro.net/GDB/show_report.asp?id=3292
40.119581,-86.241206,1973-09-??,http://www.bfro.net/GDB/show_report.asp?id=6094
40.102812,-83.116036,1973-09-??,http://www.bfro.net/GDB/show_article.asp?id=308
42.565359,-91.447712,1973-09-??,http://www.bfro.net/GDB/show_article.asp?id=55
35.293692,-99.171245,1973-09-28,http://www.bfro.net/GDB/show_report.asp?id=9765
39.895864,-122.202129,1973-10-??,http://www.bfro.net/GDB/show_report.asp?id=7731
30.331707,-89.244346,1973-10Aut,http://www.bfro.net/GDB/show_report.asp?id=2376
35.228691,-83.237423,1973-10Aut,http://www.bfro.net/GDB/show_report.asp?id=3333
43.711166,-121.744763,1973-10Aut,http://www.bfro.net/GDB/show_report.asp?id=7785
44.805250,-118.343668,1973-11-??,http://www.bfro.net/GDB/show_report.asp?id=7562
38.225727,-95.776152,1974-??-??,http://www.bfro.net/GDB/show_report.asp?id=1328
31.915412,-95.005321,1974-03-??,http://www.bfro.net/GDB/show_report.asp?id=2379
33.944836,-84.155163,1974-03-??,http://www.bfro.net/GDB/show_report.asp?id=2100
49.447231,-120.512333,1974-04-??,http://www.bfro.net/GDB/show_report.asp?id=294
33.686882,-78.918162,1974-04-18,http://www.bfro.net/GDB/show_report.asp?id=11487
35.963836,-88.712132,1974-04Spr,http://www.bfro.net/GDB/show_report.asp?id=11328
47.146046,-122.303839,1974-04Spr,http://www.bfro.net/GDB/show_report.asp?id=10653
45.996258,-116.929996,1974-06-??,http://www.bfro.net/GDB/show_report.asp?id=6391
45.390597,-122.272099,1974-06-??,http://www.bfro.net/GDB/show_report.asp?id=652
33.733987,-84.731686,1974-06-16,http://www.bfro.net/GDB/show_report.asp?id=447
44.862199,-68.714376,1974-07-??,http://www.bfro.net/GDB/show_report.asp?id=1189
41.552396,-120.327000,1974-07-??,http://www.bfro.net/GDB/show_report.asp?id=875
39.727777,-76.323397,1974-07Sum,http://www.bfro.net/GDB/show_report.asp?id=3572
39.679881,-123.412137,1974-07Sum,http://www.bfro.net/GDB/show_report.asp?id=7860
40.041569,-79.664427,1974-08-??,http://www.bfro.net/GDB/show_report.asp?id=2712
41.437715,-71.506004,1974-09-??,http://www.bfro.net/GDB/show_report.asp?id=6496
37.320471,-93.575059,1974-09-??,http://www.bfro.net/GDB/show_report.asp?id=9502
42.077969,-84.671905,1974-09-16,http://www.bfro.net/GDB/show_report.asp?id=10151
34.651431,-118.211560,1974-10-??,http://www.bfro.net/GDB/show_report.asp?id=1742
40.597401,-84.328026,1974-10-2?rep3385dup,http://www.bfro.net/GDB/show_report.asp?id=4553
40.139392,-96.741961,1974-10Aut,http://www.bfro.net/GDB/show_report.asp?id=1379
43.616441,-85.026932,1974-11-0?,http://www.bfro.net/GDB/show_report.asp?id=861
35.232038,-96.600208,1974-11-04,http://www.bfro.net/GDB/show_report.asp?id=6644
38.398075,-95.646916,1974-11-09,http://www.bfro.net/GDB/show_report.asp?id=10660
48.442841,-116.660421,1975-??-??,http://www.bfro.net/GDB/show_report.asp?id=5767
33.755638,-96.519161,1975-??-??,http://www.bfro.net/GDB/show_report.asp?id=2397
34.060353,-86.665969,1975-??-??,http://www.bfro.net/GDB/show_report.asp?id=1830
26.276894,-80.288176,1975-01-15,http://www.bfro.net/GDB/show_report.asp?id=592
38.965480,-89.096079,1975-01Win,http://www.bfro.net/GDB/show_report.asp?id=2805
38.586731,-112.537313,1975-03-15,http://www.bfro.net/GDB/show_report.asp?id=1950
34.538956,-92.693310,1975-03-3?,http://www.bfro.net/GDB/show_report.asp?id=3143
40.974798,-111.822837,1975-04-14,http://www.bfro.net/GDB/show_report.asp?id=1949
35.827618,-87.107944,1975-04Spr,http://www.bfro.net/GDB/show_report.asp?id=6463
48.217020,-121.690111,1975-05-25,http://www.bfro.net/GDB/show_report.asp?id=1722
41.258811,-124.100050,1975-06-1?,http://www.bfro.net/GDB/show_report.asp?id=1108
39.924853,-79.836538,1975-07-??,http://www.bfro.net/GDB/show_report.asp?id=3562
30.608983,-95.533636,1975-07-??,http://www.bfro.net/GDB/show_report.asp?id=2050
33.183818,-92.651355,1975-07-??,http://www.bfro.net/GDB/show_report.asp?id=11467
26.604767,-80.115633,1975-07-??,http://www.bfro.net/GDB/show_report.asp?id=414
42.656152,-123.549506,1975-07-??,http://www.bfro.net/GDB/show_report.asp?id=3702
41.880956,-124.129308,1975-07-01,http://www.bfro.net/GDB/show_report.asp?id=5260
41.167467,-95.922267,1975-07Sum,http://www.bfro.net/GDB/show_report.asp?id=7809
39.235525,-106.387798,1975-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1366
34.887949,-92.147132,1975-07Sum,http://www.bfro.net/GDB/show_report.asp?id=10919
30.232744,-89.587564,1975-07Sum,http://www.bfro.net/GDB/show_report.asp?id=1341
41.036725,-78.751053,1975-08-??,http://www.bfro.net/GDB/show_report.asp?id=3556
32.258091,-88.756142,1975-08-??,http://www.bfro.net/GDB/show_report.asp?id=4681
45.460997,-118.841838,1975-09-??,http://www.bfro.net/GDB/show_report.asp?id=695
44.665260,-114.240791,1975-10-??,http://www.bfro.net/GDB/show_report.asp?id=6983
